Item,Venue,Time,Region [ Region_warehouse ],Dollar Sales,Unit Sales,Days of Supply,Inventory Turns,Inventory On Hand,On Order,In Transit,Quantity Received,OOS,Warehouses Selling,Number of Warehouses,Flavor,Flavor / Scent,% Discount,Average Coupon Value,Average Promoted Price,Coupon Dollars,Coupon Units,Non Promoted Dollars,Non Promoted Units,Promoted Dollars,Promoted Units,Total Discount Dollars,Average Diesel Fuel Price per gallon,Average Regular Gas Price per gallon,Average Mid-grade Gas Price per gallon,Average Premium Gas Price per gallon,In Stock %
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 01-01-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.67,4.17,4.53,4.51,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 01-08-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.70,4.18,4.56,4.53,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 01-15-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.70,4.18,4.53,4.52,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 01-22-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.71,4.19,4.54,4.53,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 01-29-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.86,4.39,4.74,4.72,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 02-05-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.88,4.47,4.86,4.87,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 02-12-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.61,4.39,4.75,4.75,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 02-19-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.64,4.40,4.76,4.80,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 02-26-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.60,4.43,4.78,4.83,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 03-05-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.38,4.57,4.90,4.93,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 03-12-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.30,4.70,5.05,5.10,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 03-19-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.26,4.67,5.01,5.05,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 03-26-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.20,4.66,4.95,5.05,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 04-02-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.10,4.61,4.96,5.04,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 04-09-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.00,4.67,4.98,5.07,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 04-16-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.00,4.70,5.02,5.11,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 04-23-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.00,4.66,5.03,5.08,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 04-30-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.00,4.59,4.94,5.00,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 05-07-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.00,4.54,4.87,4.94,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 05-14-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.00,4.50,4.85,4.90,
000000000000000-BUILT BAR VTY 13/1.69OZP525 SL210,WAREHOUSE 1004 NE SAN JOSE,1 week ending 05-21-2023,Bay Area,,,,,,,,,,,1,N/A,N/A,,,,,,,,,,,5.00,4.51,4.86,4.92,
